subject,count,link
"charles-léonard de baylenx, marquis de poyanne",2,"https://www.viomenil.mountvernon.org/browse.html#charles-l%C3%A9onard%20de%20baylenx,%20marquis%20de%20poyanne"
"1723-1794",2,"https://www.viomenil.mountvernon.org/browse.html#1723-1794"
"guillaume-jacques-constant de liberge de granchain",2,"https://www.viomenil.mountvernon.org/browse.html#guillaume-jacques-constant%20de%20liberge%20de%20granchain"
"1753-1815",2,"https://www.viomenil.mountvernon.org/browse.html#1753-1815"
"ludwig von closen-haydenburg",2,"https://www.viomenil.mountvernon.org/browse.html#ludwig%20von%20closen-haydenburg"
"staten island, new york",2,"https://www.viomenil.mountvernon.org/browse.html#staten%20island,%20new%20york"
"1752-1830",2,"https://www.viomenil.mountvernon.org/browse.html#1752-1830"
"louis-françois-bertrand du point d'aubevoye de lauberdière",2,"https://www.viomenil.mountvernon.org/browse.html#louis-fran%C3%A7ois-bertrand%20du%20point%20d'aubevoye%20de%20lauberdi%C3%A8re"
"1759-1837",2,"https://www.viomenil.mountvernon.org/browse.html#1759-1837"
"south carolina",2,"https://www.viomenil.mountvernon.org/browse.html#south%20carolina"
"donatien-marie-joseph de vimeur de rochambeau",2,"https://www.viomenil.mountvernon.org/browse.html#donatien-marie-joseph%20de%20vimeur%20de%20rochambeau"
"louis-marie-florent de lomont d'haraucourt, marquis later duc du châtelet",2,"https://www.viomenil.mountvernon.org/browse.html#louis-marie-florent%20de%20lomont%20d'haraucourt,%20marquis%20later%20duc%20du%20ch%C3%A2telet"
"françois-henri de franquetot de coigny, duc de coigny",2,"https://www.viomenil.mountvernon.org/browse.html#fran%C3%A7ois-henri%20de%20franquetot%20de%20coigny,%20duc%20de%20coigny"
"1755-1813",2,"https://www.viomenil.mountvernon.org/browse.html#1755-1813"
"1724-1816",2,"https://www.viomenil.mountvernon.org/browse.html#1724-1816"
"samuel hood",2,"https://www.viomenil.mountvernon.org/browse.html#samuel%20hood"
"1718-1785",2,"https://www.viomenil.mountvernon.org/browse.html#1718-1785"
"connecticut",2,"https://www.viomenil.mountvernon.org/browse.html#connecticut"
"west point, new york",2,"https://www.viomenil.mountvernon.org/browse.html#west%20point,%20new%20york"
"oliver de lancey",2,"https://www.viomenil.mountvernon.org/browse.html#oliver%20de%20lancey"
"camden, south carolina",2,"https://www.viomenil.mountvernon.org/browse.html#camden,%20south%20carolina"
"peekskill, new york",2,"https://www.viomenil.mountvernon.org/browse.html#peekskill,%20new%20york"
"king’s ferry, new york",2,"https://www.viomenil.mountvernon.org/browse.html#king%E2%80%99s%20ferry,%20new%20york"
"jean-baptiste donatien de vimeur, comte de rochambeau",2,"https://www.viomenil.mountvernon.org/browse.html#jean-baptiste%20donatien%20de%20vimeur,%20comte%20de%20rochambeau"
"philippe-henir, marquis de ségur",2,"https://www.viomenil.mountvernon.org/browse.html#philippe-henir,%20marquis%20de%20s%C3%A9gur"
"portsmouth, virginia",2,"https://www.viomenil.mountvernon.org/browse.html#portsmouth,%20virginia"
"1756-1804",2,"https://www.viomenil.mountvernon.org/browse.html#1756-1804"
"louis-marie de noailles",2,"https://www.viomenil.mountvernon.org/browse.html#louis-marie%20de%20noailles"
"puerto cabello, venezuela",2,"https://www.viomenil.mountvernon.org/browse.html#puerto%20cabello,%20venezuela"
"savannah, georgia",2,"https://www.viomenil.mountvernon.org/browse.html#savannah,%20georgia"
"jacques anne joseph le prestre, marquis de vauban",2,"https://www.viomenil.mountvernon.org/browse.html#jacques%20anne%20joseph%20le%20prestre,%20marquis%20de%20vauban"
"chester, pennsylvania",2,"https://www.viomenil.mountvernon.org/browse.html#chester,%20pennsylvania"
"horseneck, connecticut",2,"https://www.viomenil.mountvernon.org/browse.html#horseneck,%20connecticut"
"1754-1816",2,"https://www.viomenil.mountvernon.org/browse.html#1754-1816"
"anne-césar de beuzeville, chevalier de la luzerne",2,"https://www.viomenil.mountvernon.org/browse.html#anne-c%C3%A9sar%20de%20beuzeville,%20chevalier%20de%20la%20luzerne"
"jean-fréderic de chabannes",2,"https://www.viomenil.mountvernon.org/browse.html#jean-fr%C3%A9deric%20de%20chabannes"
"louis-alexandre berthier",2,"https://www.viomenil.mountvernon.org/browse.html#louis-alexandre%20berthier"
"1762-1836",2,"https://www.viomenil.mountvernon.org/browse.html#1762-1836"
"charles malo françois de lameth",2,"https://www.viomenil.mountvernon.org/browse.html#charles%20malo%20fran%C3%A7ois%20de%20lameth"
"hampton, virginia",1,"https://www.viomenil.mountvernon.org/browse.html#hampton,%20virginia"
"elisha sheldon",1,"https://www.viomenil.mountvernon.org/browse.html#elisha%20sheldon"
"1738-1789",1,"https://www.viomenil.mountvernon.org/browse.html#1738-1789"
"1740-1805",1,"https://www.viomenil.mountvernon.org/browse.html#1740-1805"
"bedford, new york",1,"https://www.viomenil.mountvernon.org/browse.html#bedford,%20new%20york"
"thomas nelson jr",1,"https://www.viomenil.mountvernon.org/browse.html#thomas%20nelson%20jr"
"ridgebury, connecticut",1,"https://www.viomenil.mountvernon.org/browse.html#ridgebury,%20connecticut"
"newtown, connecticut",1,"https://www.viomenil.mountvernon.org/browse.html#newtown,%20connecticut"
"1761-1835",1,"https://www.viomenil.mountvernon.org/browse.html#1761-1835"
"dobbs ferry, new york",1,"https://www.viomenil.mountvernon.org/browse.html#dobbs%20ferry,%20new%20york"
"augusta, georgia",1,"https://www.viomenil.mountvernon.org/browse.html#augusta,%20georgia"
"ninety six, south carolina",1,"https://www.viomenil.mountvernon.org/browse.html#ninety%20six,%20south%20carolina"
"diane-adélaïde de damas d'antigny, comtess de simiane",1,"https://www.viomenil.mountvernon.org/browse.html#diane-ad%C3%A9la%C3%AFde%20de%20damas%20d'antigny,%20comtess%20de%20simiane"
"claude-gabriel, marquis de choisy",1,"https://www.viomenil.mountvernon.org/browse.html#claude-gabriel,%20marquis%20de%20choisy"
"1723-1800",1,"https://www.viomenil.mountvernon.org/browse.html#1723-1800"
"new rochelle, new york",1,"https://www.viomenil.mountvernon.org/browse.html#new%20rochelle,%20new%20york"
"aglé andreault de langeron",1,"https://www.viomenil.mountvernon.org/browse.html#agl%C3%A9%20andreault%20de%20langeron"
"english channel",1,"https://www.viomenil.mountvernon.org/browse.html#english%20channel"
"pensacola, florida",1,"https://www.viomenil.mountvernon.org/browse.html#pensacola,%20florida"
"cadiz, spain",1,"https://www.viomenil.mountvernon.org/browse.html#cadiz,%20spain"
"1759-1827",1,"https://www.viomenil.mountvernon.org/browse.html#1759-1827"
"jacques-melchior saint-laurent, comte de barras",1,"https://www.viomenil.mountvernon.org/browse.html#jacques-melchior%20saint-laurent,%20comte%20de%20barras"
"louis auguste de france, king lous xvi",1,"https://www.viomenil.mountvernon.org/browse.html#louis%20auguste%20de%20france,%20king%20lous%20xvi"
"brooklyn, new york",1,"https://www.viomenil.mountvernon.org/browse.html#brooklyn,%20new%20york"
"praintanau",1,"https://www.viomenil.mountvernon.org/browse.html#praintanau"
"baron de l'estradre",1,"https://www.viomenil.mountvernon.org/browse.html#baron%20de%20l'estradre"
